primary_label,common_name,scientific_name,latitude,longitude,date,season,url,filename
gnwtea,Green-winged Teal,Anas crecca,55.5042,9.7364,2020-05-01,Spring,https://www.xeno-canto.org/552779,XC552779.ogg
grasal1,Grayish Saltator,Saltator coerulescens,16.7812,-88.4587,1994-03-16,Spring,https://www.xeno-canto.org/28597,XC28597.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-32.1266,-60.6687,2005-11-12,Fall,https://www.xeno-canto.org/563285,XC563285.ogg
grasal1,Grayish Saltator,Saltator coerulescens,9.9809,-84.0789,2019-07-13,Summer,https://www.xeno-canto.org/499849,XC499849.ogg
grnjay,Green Jay,Cyanocorax yncas,4.70138,-75.64108,2009-03-13,Spring,https://www.xeno-canto.org/244732,XC244732.ogg
gnwtea,Green-winged Teal,Anas crecca,64.482,13.3188,2020-05-21,Spring,https://www.xeno-canto.org/582020,XC582020.ogg
grnjay,Green Jay,Cyanocorax yncas,-6.974,-77.5972,2016-10-07,Fall,https://www.xeno-canto.org/609769,XC609769.ogg
grnjay,Green Jay,Cyanocorax yncas,-4.1146,-78.9648,2014-08-09,Summer,https://www.xeno-canto.org/190237,XC190237.ogg
gnwtea,Green-winged Teal,Anas crecca,54.1818,-0.3203,2021-01-23,Winter,https://www.xeno-canto.org/616771,XC616771.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,28.6456,-80.7199,2013-08-09,Summer,https://www.xeno-canto.org/145841,XC145841.ogg
gnwtea,Green-winged Teal,Anas crecca,63.1635,75.4388,2018-05-28,Spring,https://www.xeno-canto.org/432035,XC432035.ogg
grasal1,Grayish Saltator,Saltator coerulescens,8.299,-70.0851,2005-03-11,Spring,https://www.xeno-canto.org/254274,XC254274.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-9.4123,-72.7153,1999-09-12,Fall,https://www.xeno-canto.org/305390,XC305390.ogg
gnwtea,Green-winged Teal,Anas crecca,52.1468,5.3788,2019-04-15,Spring,https://www.xeno-canto.org/467293,XC467293.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,31.9237,-81.0559,2014-05-05,Spring,https://www.xeno-canto.org/177349,XC177349.ogg
gnwtea,Green-winged Teal,Anas crecca,58.7098,14.6201,2013-09-08,Fall,https://www.xeno-canto.org/153141,XC153141.ogg
grasal1,Grayish Saltator,Saltator coerulescens,4.4216,-75.2387,2017-07-17,Summer,https://www.xeno-canto.org/423696,XC423696.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,43.3546,-80.1125,2019-07-13,Summer,https://www.xeno-canto.org/487017,XC487017.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,35.8174,-78.7193,2017-04-14,Spring,https://www.xeno-canto.org/364589,XC364589.ogg
grasal1,Grayish Saltator,Saltator coerulescens,21.5347,-105.2926,2019-02-01,Winter,https://www.xeno-canto.org/455030,XC455030.ogg
gnwtea,Green-winged Teal,Anas crecca,52.2671,20.4603,2020-04-07,Spring,https://www.xeno-canto.org/593816,XC593816.ogg
grasal1,Grayish Saltator,Saltator coerulescens,23.4067,-105.9352,2019-04-22,Spring,https://www.xeno-canto.org/500308,XC500308.ogg
grnjay,Green Jay,Cyanocorax yncas,-0.6873,-77.5992,2012-04-02,Spring,https://www.xeno-canto.org/120562,XC120562.ogg
grnjay,Green Jay,Cyanocorax yncas,5.192,-75.9575,2020-08-17,Summer,https://www.xeno-canto.org/586421,XC586421.ogg
gnwtea,Green-winged Teal,Anas crecca,52.2544,13.9031,2016-03-28,Spring,https://www.xeno-canto.org/309109,XC309109.ogg
grnjay,Green Jay,Cyanocorax yncas,4.9253,-75.0882,2014-06-23,Summer,https://www.xeno-canto.org/188189,XC188189.ogg
grasal1,Grayish Saltator,Saltator coerulescens,27.1621,-109.3975,2019-07-20,Summer,https://www.xeno-canto.org/512211,XC512211.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-16.6869,-49.2648,2016-08-15,Summer,https://www.xeno-canto.org/332247,XC332247.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-3.2992,-78.5895,2014-04-19,Spring,https://www.xeno-canto.org/180451,XC180451.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-11.0192,-66.0987,1994-04-04,Spring,https://www.xeno-canto.org/2437,XC2437.ogg
grnjay,Green Jay,Cyanocorax yncas,4.7175,-75.6242,2019-02-12,Winter,https://www.xeno-canto.org/456660,XC456660.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,40.4313,-79.9082,2015-05-03,Spring,https://www.xeno-canto.org/239644,XC239644.ogg
gnwtea,Green-winged Teal,Anas crecca,51.3911,4.4136,2020-04-07,Spring,https://www.xeno-canto.org/583701,XC583701.ogg
gnwtea,Green-winged Teal,Anas crecca,60.2024,24.8215,2016-04-29,Spring,https://www.xeno-canto.org/314236,XC314236.ogg
grnjay,Green Jay,Cyanocorax yncas,-17.172,-65.759,2016-09-12,Fall,https://www.xeno-canto.org/354156,XC354156.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-16.2825,-46.9679,2011-07-22,Summer,https://www.xeno-canto.org/174776,XC174776.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,59.0988,-123.4621,2014-06-16,Summer,https://www.xeno-canto.org/189296,XC189296.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-0.683,-77.6,2017-10-19,Fall,https://www.xeno-canto.org/390538,XC390538.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-34.6081,-58.3509,2015-09-27,Fall,https://www.xeno-canto.org/283064,XC283064.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,41.8119,-72.2549,2012-05-17,Spring,https://www.xeno-canto.org/120863,XC120863.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,36.1927,-84.2309,2017-06-17,Summer,https://www.xeno-canto.org/375868,XC375868.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-14.8264,-56.4241,2013-08-05,Summer,https://www.xeno-canto.org/174062,XC174062.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,58.8294,-122.8994,2014-06-17,Summer,https://www.xeno-canto.org/189412,XC189412.ogg
grasal1,Grayish Saltator,Saltator coerulescens,14.938,-87.8909,2019-07-04,Summer,https://www.xeno-canto.org/486154,XC486154.ogg
gnwtea,Green-winged Teal,Anas crecca,54.949,-1.48,2021-01-06,Winter,https://www.xeno-canto.org/613512,XC613512.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-28.5332,-57.167,2017-03-30,Spring,https://www.xeno-canto.org/368992,XC368992.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,28.1918,-82.7214,2013-04-04,Spring,https://www.xeno-canto.org/130989,XC130989.ogg
grnjay,Green Jay,Cyanocorax yncas,4.66481,-75.63287,2009-06-17,Summer,https://www.xeno-canto.org/244795,XC244795.ogg
grnjay,Green Jay,Cyanocorax yncas,-0.5864,-77.8778,2019-01-19,Winter,https://www.xeno-canto.org/461232,XC461232.ogg
grnjay,Green Jay,Cyanocorax yncas,8.143,-71.9377,2017-04-13,Spring,https://www.xeno-canto.org/375249,XC375249.ogg
grasal1,Grayish Saltator,Saltator coerulescens,11.4947,-69.5128,2019-08-14,Summer,https://www.xeno-canto.org/572282,XC572282.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,40.8918,-91.0756,2020-08-20,Summer,https://www.xeno-canto.org/584066,XC584066.ogg
gnwtea,Green-winged Teal,Anas crecca,46.3725,0.8185,2021-01-17,Winter,https://www.xeno-canto.org/616013,XC616013.ogg
gnwtea,Green-winged Teal,Anas crecca,43.578,-0.2969,2013-11-14,Fall,https://www.xeno-canto.org/154468,XC154468.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-25.5163,-54.5854,2020-05-16,Spring,https://www.xeno-canto.org/558884,XC558884.ogg
grnjay,Green Jay,Cyanocorax yncas,-0.5864,-77.8778,2015-02-26,Winter,https://www.xeno-canto.org/225247,XC225247.ogg
gnwtea,Green-winged Teal,Anas crecca,51.9612,5.8104,2018-03-21,Spring,https://www.xeno-canto.org/528484,XC528484.ogg
gnwtea,Green-winged Teal,Anas crecca,41.6862,0.945,2020-01-04,Winter,https://www.xeno-canto.org/603667,XC603667.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,31.9237,-81.0559,2020-04-24,Spring,https://www.xeno-canto.org/570185,XC570185.ogg
grnjay,Green Jay,Cyanocorax yncas,-3.7059,-78.6368,2013-04-06,Spring,https://www.xeno-canto.org/131176,XC131176.ogg
gnwtea,Green-winged Teal,Anas crecca,48.7181,1.8306,2019-03-30,Spring,https://www.xeno-canto.org/464120,XC464120.ogg
grasal1,Grayish Saltator,Saltator coerulescens,12.8869,-87.507,2015-08-29,Summer,https://www.xeno-canto.org/276857,XC276857.ogg
grasal1,Grayish Saltator,Saltator coerulescens,27.0099,-108.9131,2019-07-24,Summer,https://www.xeno-canto.org/512208,XC512208.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-19.2667,-57.0167,2014-08-17,Summer,https://www.xeno-canto.org/195822,XC195822.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,32.447,-93.6721,2015-04-19,Spring,https://www.xeno-canto.org/277376,XC277376.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-9.5549,-65.3226,2011-02-26,Winter,https://www.xeno-canto.org/345138,XC345138.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-4.9237,-79.1109,2015-01-10,Winter,https://www.xeno-canto.org/209814,XC209814.ogg
