primary_label,latitude,longitude,scientific_name,common_name,date,season
amerob,43.077,-96.17,Turdus migratorius,American Robin,2012-06-23,Summer
amerob,44.942,-93.259,Turdus migratorius,American Robin,2012-10-30,Fall
amerob,40.557,-105.017,Turdus migratorius,American Robin,2012-04-10,Spring
amerob,40.557,-105.017,Turdus migratorius,American Robin,2012-04-10,Spring
amerob,42.4513,-71.6077,Turdus migratorius,American Robin,2012-03-28,Spring
amerob,43.0802,-96.1643,Turdus migratorius,American Robin,2013-04-03,Spring
amerob,43.0802,-96.1643,Turdus migratorius,American Robin,2013-04-06,Spring
amerob,35.0307,-120.6205,Turdus migratorius,American Robin,2013-04-14,Spring
amerob,35.0307,-120.6205,Turdus migratorius,American Robin,2013-04-14,Spring
amerob,44.942,-93.259,Turdus migratorius,American Robin,2013-04-17,Spring
amerob,41.1362,-73.8527,Turdus migratorius,American Robin,2013-04-12,Spring
amerob,43.077,-96.17,Turdus migratorius,American Robin,2013-04-20,Spring
amerob,33.3198,-82.0069,Turdus migratorius,American Robin,2013-03-05,Spring
amerob,47.5392,-94.8263,Turdus migratorius,American Robin,2013-05-05,Spring
amerob,45.4596,-70.741,Turdus migratorius,American Robin,2013-05-17,Spring
amerob,45.0622,-71.3023,Turdus migratorius,American Robin,1994-07-02,Summer
amerob,40.8517,-74.2122,Turdus migratorius,American Robin,1995-04-16,Spring
amerob,35.6078,-83.447,Turdus migratorius,American Robin,2013-05-25,Spring
amerob,32.3932,-110.7042,Turdus migratorius,American Robin,2013-06-04,Summer
amerob,40.1226,-75.0635,Turdus migratorius,American Robin,2013-04-18,Spring
amerob,35.5628,-83.4985,Turdus migratorius,American Robin,2013-06-12,Summer
amerob,42.1938,-71.7668,Turdus migratorius,American Robin,2013-06-13,Summer
amerob,46.0107,-112.8177,Turdus migratorius,American Robin,2013-05-29,Spring
amerob,41.2004,-73.8799,Turdus migratorius,American Robin,2011-05-04,Spring
amerob,46.0107,-112.8177,Turdus migratorius,American Robin,2013-06-19,Summer
amerob,40.0038,-75.045,Turdus migratorius,American Robin,2006-05-25,Spring
amerob,44.4632,-104.3921,Turdus migratorius,American Robin,2013-05-26,Spring
amerob,41.313,-105.5787,Turdus migratorius,American Robin,2013-05-07,Spring
amerob,35.1084,-80.9483,Turdus migratorius,American Robin,2013-04-22,Spring
amerob,42.2002,-71.759,Turdus migratorius,American Robin,2013-07-01,Summer
amerob,40.8643,-73.6537,Turdus migratorius,American Robin,2013-07-09,Summer
amerob,40.8708,-73.5398,Turdus migratorius,American Robin,2013-06-28,Summer
amerob,51.7772,-103.5795,Turdus migratorius,American Robin,2013-06-27,Summer
amerob,40.774,-73.971,Turdus migratorius,American Robin,2011-05-09,Spring
amerob,39.6564,-120.5342,Turdus migratorius,American Robin,2013-06-14,Summer
amerob,56.7264,-111.3803,Turdus migratorius,American Robin,2013-06-08,Summer
amerob,56.7264,-111.3803,Turdus migratorius,American Robin,2013-06-30,Summer
amerob,56.7264,-111.3803,Turdus migratorius,American Robin,2013-06-15,Summer
amerob,48.4633,-123.3728,Turdus migratorius,American Robin,2011-06-07,Summer
amerob,48.485,-123.362,Turdus migratorius,American Robin,2011-05-11,Spring
amerob,41.2042,-73.8861,Turdus migratorius,American Robin,2010-07-10,Summer
amerob,41.1362,-73.8527,Turdus migratorius,American Robin,2010-10-10,Fall
amerob,41.1362,-73.8527,Turdus migratorius,American Robin,2011-04-11,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-05-25,Spring
amerob,41.552,-70.6195,Turdus migratorius,American Robin,2013-12-29,Winter
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-03-25,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-03-27,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-03-27,Spring
